document,line_number,character,dialogue
a new hope,238,LUKE,I think my uncle knew him.  He said he was dead.
a new hope,239,BEN,"Oh, he's not dead, no... not yet."
a new hope,240,LUKE,You know him!
a new hope,241,BEN,"Well of course, of course I know him.  He's me!  I haven't gone by the name Obi-Wan since oh, before you were born."
a new hope,242,LUKE,Then the droid does belong to you.
a new hope,243,BEN,Don't seem to remember ever owning a droid.  Very interesting...
a new hope,244,BEN,I think we better get indoors.  The Sand People are easily startled but they will soon be back and in greater numbers.
a new hope,245,LUKE,... Threepio!
a new hope,246,THREEPIO,Where am I?  I must have taken a bad step...
a new hope,247,LUKE,Can you stand?  We've got to get out of here before the Sand People return.
a new hope,248,THREEPIO,"I don't think I can make it.  You go on, Master Luke.  There's no sense in you risking yourself on my account.  I'm done for."
a new hope,249,LUKE,"No, you're not.  What kind of talk is that?"
a new hope,250,BEN,"Quickly, son... they're on the move."
a new hope,251,LUKE,"No, my father didn't fight in the wars.  He was a navigator on a spice freighter."
a new hope,252,BEN,That's what your uncle told you.  He didn't hold with your father's ideals.  Thought he should have stayed here and not gotten involved.
a new hope,253,LUKE,You fought in the Clone Wars?
a new hope,254,BEN,"Yes, I was once a Jedi Knight the same as your father."
a new hope,255,LUKE,I wish I'd known him.
a new hope,256,BEN,"He was the best star-pilot in the galaxy, and a cunning warrior.  I understand you've become quite a good pilot yourself.  And he was a good friend.  Which reminds me..."
a new hope,257,BEN,"I have something here for you.  Your father wanted you to have this when you were old enough, but your uncle wouldn't allow it.  He feared you might follow old Obi-Wan on some damned-fool idealistic crusade like your father did."
a new hope,258,THREEPIO,"Sir, if you'll not be needing me, I'll close down for awhile."
a new hope,259,LUKE,"Sure, go ahead."
a new hope,260,LUKE,What is it?
a new hope,261,BEN,Your fathers lightsaber.  This is the weapon of a Jedi Knight.  Not as clumsy or as random as a blaster.
a new hope,262,BEN,"An elegant weapon for a morecivilized time.  For over a thousand generations the Jedi Knights were the guardians of peace and justice in the Old Republic.  Before the dark times, before the Empire."
a new hope,263,LUKE,How did my father die?
a new hope,264,BEN,"A young Jedi named Darth Vader, who was a pupil of mine until he turned to evil, helped the Empire hunt down and destroy the Jedi Knights.  He betrayed and murdered your father.  Now the Jedi are all but extinct.  Vader was seduced by the dark side of the Force."
a new hope,265,LUKE,The Force?
a new hope,266,BEN,"Well, the Force is what gives the Jedi his power.  It's an energy field created by all living things.  It surrounds us and penetrates us.  It binds the galaxy together."
a new hope,267,BEN,"Now, let's see if we can't figure out what you are, my little friend.  And where you come from."
a new hope,268,LUKE,I saw part of the message he was...
a new hope,269,BEN,I seem to have found it.
a new hope,270,LEIA,"General Kenobi, years ago you served my father in the Clone Wars.  Now he begs you to help him in his struggle against the Empire.  I regret that I am unable to present my father's request to you in person, but my ship has fallen under attack and I'm afraid my mission to bring you to Alderaan has failed.  I have placed information vital to the survival of the Rebellion into the memory systems of this R2 unit.  My father will know how to retrieve it.  You must see this droid safely delivered to him on Alderaan.  This is our most desperate hour.  Help me, Obi-Wan Kenobi, you're my only hope."
a new hope,271,BEN,You must learn the ways of the Force if you're to come with me to Alderaan.
a new hope,272,LUKE,"Alderaan?  I'm not going to Alderaan.  I've got to go home.  It's late, I'm in for it as it is."
a new hope,273,BEN,"I need your help, Luke.  I'm getting too old for this sort of thing.She needs your help."
a new hope,274,LUKE,I can't get involved!  I've got work to do!  It's not that I like the Empire.  I hate it!  But there's nothing I can do about it right now.  It's such a long way from here.
a new hope,275,BEN,That's your uncle talking.
a new hope,276,LUKE,"Oh, God, my uncle.  How am I ever going to explain this?"
a new hope,277,BEN,"Learn about the Force, Luke."
a new hope,278,LUKE,"Look, I can take you as far as Anchorhead.  You can get a transport there to Mos Eisley or wherever you're going."
a new hope,279,BEN,"You must do what you feel is right, of course."
a new hope,280,TAGGE,Until this battle station is fully operational we are vulnerable.  The Rebel Alliance is too well equipped.  They're more dangerous than you realize.
a new hope,281,MOTTI,"Dangerous to your starfleet, Commander; not to this battle station!"
a new hope,282,TAGGE,The Rebellion will continue to gain support in the Imperial Senate as long as....
a new hope,283,TARKIN,The Imperial Senate will no longer be of any concern to us.  I've just received word that the Emperor has dissolved the council permanently.  The last remnants of the Old Republic have been swept away.
a new hope,284,TAGGE,That's impossible!  How will the Emperor maintain control without the bureaucracy?
